Name,Container_Code,Container_Code_AI,Container_Match,Container_Accuracy,Failed_Reason,Time
img001,SKHU6440588,SKHU6440588,1,100.0,[WARN] TOO CLOSE,9.212
img002,TIIU4981584,TRIU4981582,0,81.82,,0.324
img003,NYKU0745121,NYKU0745121,1,100.0,,0.3
img004,TLLU2729261,TLLU2729261,1,100.0,,0.258
img005,TLLU2729261,TLLU2729261,1,100.0,,0.268
img006,TLLU2729261,TLLU2729261,1,100.0,,0.237
img007,MSDU1352325,MSDU1352325,1,100.0,,0.698
img008,MSDU1352325,MSBU1352328,0,81.82,,0.621
img009,TGHU6769849,TGHU6769849,1,100.0,,0.274
img010,TGHU6769849,TGHU6769849,1,100.0,,0.295
img011,IAAU1963381,IAAU1963381,1,100.0,,0.349
img012,IAAU1963381,IAAU1963381,1,100.0,,0.316
img013,TRHU1059527,TRHU1059527,1,100.0,,0.276
img014,TRHU1059527,TRHU1059527,1,100.0,,0.323
img015,SLVU4713324,SLVU4713324,1,100.0,,0.236
img016,BMOU2137606,BMOU2137606,1,100.0,,0.305
img017,BMOU2137606,BMOU2137606,1,100.0,,0.311
img018,CMAU3122727,CMAU3122727,1,100.0,[WARN] TOO CLOSE,0.302
img019,CMAU3122727,CMAU3122727,1,100.0,,0.294
img020,OOCU7532393,OOCU7532393,1,100.0,[WARN] TOO CLOSE,0.43
img021,WHSU5480336,WHSU5480336,1,100.0,,0.339
img022,OERU4060434,OERU4060434,1,100.0,,0.3
img023,DFSU7534845,DFSU7534845,1,100.0,[WARN] TOO CLOSE,0.307
img024,MEDU5449419,MEDU5449419,1,100.0,,0.678
img025,MEDU5449419,MEDU5449419,1,100.0,,0.74
img026,TGBU9726643,TGBU9726643,1,100.0,,0.3
img027,WHSU6109280,WHSU6109280,1,100.0,,0.316
img028,EMCU6162623,EMCU6162623,1,100.0,,0.43
img029,CAAU7776295,CAAU7776295,1,100.0,,0.315
img030,DAYU6108768,DAYU6108768,1,100.0,[WARN] TOO FAR,0.312
img031,SEGU5553604,SEGU5553604,1,100.0,,0.307
img032,TRDU7504760,TRDU7504760,1,100.0,,0.292
img033,OOCU8883411,OOCU8883411,1,100.0,,0.38
img034,ONEU2104839,ONEU2104839,1,100.0,,0.605
img035,DRYU2770066,DRYU2770066,1,100.0,,0.263
img036,DRYU2770066,DRYU2770066,1,100.0,,0.261
img037,MRKU3153481,MRKU3153481,1,100.0,,0.361
img038,MRKU3153481,MRKU3153481,1,100.0,,0.318
img039,TCKU7855354,TCKU7855354,1,100.0,[WARN] TOO CLOSE,0.351
img040,CSLU1588205,CSLU1588205,1,100.0,,0.319
img041,TCLU3193998,TCLU3193998,1,100.0,,0.351
img042,ONEU0386327,ONEU0386327,1,100.0,,0.312
img043,SUDU6500548,HASU0650050,0,45.45,,0.327
img044,MSMU7097922,MSMU7097922,1,100.0,,0.291
img045,MSMU7097922,MSMU7097922,1,100.0,,0.268
img046,TCNU9889358,TCNU9889358,1,100.0,,0.262
img047,TRHU2880861,TRHU2880861,1,100.0,[WARN] TOO CLOSE,0.306
img048,TRHU2880861,TRHU2880861,1,100.0,,0.288
img049,ZCSU6109323,ZCSU6109323,1,100.0,[WARN] TOO CLOSE,0.332
img050,ZCSU6109323,ZCSU6109323,1,100.0,,0.281
img051,SEKU6405930,SEKU6405930,1,100.0,[WARN] TOO FAR,0.256
img052,NYKU3855400,NYKU3855400,1,100.0,[WARN] TOO CLOSE,0.347
img053,NYKU3855400,NYKU3855400,1,100.0,,0.285
img054,NYKU3855400,NYKU3855400,1,100.0,,0.275
img055,MSKU1620022,MSKU1620022,1,100.0,[WARN] TOO CLOSE,0.225
img056,HLXU8596393,HLXU8596393,1,100.0,,0.287
