Name,Face_Name,Face_Name_AI,Face_Match,Face_Confidence,Time
img001,Johnny Depp,Johnny Depp,1,85.53,2.68
img002,Johnny Depp,Johnny Depp,1,79.08,0.11
img003,Johnny Depp,Johnny Depp,1,72.69,0.103
img004,Johnny Depp,Johnny Depp,1,97.5,0.085
img005,Johnny Depp,Johnny Depp,1,80.25,0.085
img006,Denzel Washington,Denzel Washington,1,99.47,0.127
img007,Denzel Washington,Denzel Washington,1,92.14,0.114
img008,Denzel Washington,Denzel Washington,1,91.37,0.089
img009,Denzel Washington,Denzel Washington,1,87.45,0.087
img010,Denzel Washington,Denzel Washington,1,91.78,0.098
img011,Hugh Jackman,Hugh Jackman,1,83.65,0.201
img012,Hugh Jackman,Hugh Jackman,1,87.77,0.109
img013,Hugh Jackman,Hugh Jackman,1,83.64,0.211
img014,Hugh Jackman,Hugh Jackman,1,76.47,0.093
img015,Hugh Jackman,Hugh Jackman,1,73.98,0.092
img016,Brad Pitt,Unknown,0,39.52,0.116
img017,Brad Pitt,Brad Pitt,1,67.27,0.082
img018,Brad Pitt,Brad Pitt,1,77.06,0.082
img019,Brad Pitt,None,0,0.0,0.018
img020,Brad Pitt,Brad Pitt,1,72.16,0.422
img021,Angelina Jolie,Angelina Jolie,1,93.04,0.08
img022,Angelina Jolie,Angelina Jolie,1,90.81,0.077
img023,Angelina Jolie,Angelina Jolie,1,79.66,0.1
img024,Angelina Jolie,Angelina Jolie,1,94.41,0.08
img025,Angelina Jolie,Angelina Jolie,1,91.06,0.084
img026,Robert Downey Jr,Robert Downey Jr,1,64.86,0.106
img027,Robert Downey Jr,Unknown,0,59.79,0.071
img028,Robert Downey Jr,Robert Downey Jr,1,74.11,0.096
img029,Robert Downey Jr,Robert Downey Jr,1,70.35,0.109
img030,Robert Downey Jr,Robert Downey Jr,1,79.03,0.11
img031,Tom Cruise,Tom Cruise,1,72.64,0.082
img032,Tom Cruise,Tom Cruise,1,62.2,0.083
img033,Tom Cruise,Unknown,0,47.03,0.131
img034,Tom Cruise,Tom Cruise,1,71.81,0.098
img035,Tom Cruise,Tom Cruise,1,85.3,0.085
img036,Tom Hanks,Tom Hanks,1,75.0,0.078
img037,Tom Hanks,Tom Hanks,1,76.58,0.08
img038,Tom Hanks,Unknown,0,52.62,0.091
img039,Tom Hanks,Tom Hanks,1,81.05,0.077
img040,Tom Hanks,Tom Hanks,1,79.84,0.083
img041,Leonardo DiCaprio,Leonardo DiCaprio,1,82.25,0.076
img042,Leonardo DiCaprio,Leonardo DiCaprio,1,84.98,0.079
img043,Leonardo DiCaprio,Leonardo DiCaprio,1,86.65,0.077
img044,Leonardo DiCaprio,Leonardo DiCaprio,1,62.17,0.08
img045,Leonardo DiCaprio,Unknown,0,51.06,0.078
img046,Natalie Portman,Natalie Portman,1,78.39,0.083
