Name,Plate_Number,Plate_Number_AI,Plate_Match,Plate_Accuracy,Failed_Reason,Time
img001,30N-4616,30N4616,1,100.0,,9.234
img002,81A-73492,81A7382,0,75.0,,0.27
img003,51G-49539,51G49539,1,100.0,,0.255
img004,51A-01204,51A01204,1,100.0,,0.248
img005,51F-22261,51F22261,1,100.0,,0.249
img006,50LD-04411,50LD04411,1,100.0,,0.25
img007,51F-06532,51F06532,1,100.0,,0.243
img008,48A-02866,48A02866,1,100.0,,0.285
img009,51A-85325,51A85325,1,100.0,,0.255
img010,51A-01204,51A01204,1,100.0,,0.253
img011,51F-07973,51F07973,1,100.0,,0.277
img012,51F-22261,51F22261,1,100.0,,0.258
img013,51F-73420,51F73420,1,100.0,,0.233
img014,48A-05177,48A05177,1,100.0,,0.273
img015,51A-72078,51A72078,1,100.0,,0.261
img016,51A-72078,51A72078,1,100.0,,0.231
img017,60A-21418,60A21418,1,100.0,,0.218
img018,51A-01204,51A01204,1,100.0,,0.233
img019,51G-39466,51G39466,1,100.0,,0.225
img020,51F-61712,51F61712,1,100.0,,0.25
img021,51F-63034,51F63034,1,100.0,,0.251
img022,51A-69172,51A69172,1,100.0,,0.251
img023,52Y-6490,52Y6490,1,100.0,,0.253
img024,52Y-6490,52Y6490,1,100.0,,0.243
img025,51F-06609,51F06609,1,100.0,,0.314
img026,51A-89714,51A89714,1,100.0,,0.253
img027,51A-89714,51A89714,1,100.0,,0.248
img028,41F-22261,1022261,0,75.0,,0.241
img029,60A-35981,60A35981,1,100.0,,0.247
img030,51F-59011,51F59011,1,100.0,,0.254
img031,51G-31691,51G31691,1,100.0,,0.24
img032,51F-74776,51F74776,1,100.0,,0.225
img033,51A-85325,51A85325,1,100.0,,0.231
img034,51G-51936,51G51936,1,100.0,,0.224
img035,51G-10096,51G10096,1,100.0,,0.225
img036,51F-79512,51F79512,1,100.0,,0.225
img037,51G-31691,51G31691,1,100.0,,0.231
img038,51F-59881,51F59881,1,100.0,,0.229
img039,48A-05177,48A05177,1,100.0,,0.221
img040,51F-88270,51F88270,1,100.0,,0.221
img041,51A-69172,51A69172,1,100.0,,0.233
img042,51G-51332,51G51332,1,100.0,,0.218
img043,51F-15585,51F15585,1,100.0,,0.223
img044,51F-22261,51F22261,1,100.0,,0.225
img045,51F-15585,51F15585,1,100.0,,0.215
img046,51F-86988,51F86988,1,100.0,,0.282
img047,51G-31691,51G31691,1,100.0,,0.249
img048,51F-63034,51F63034,1,100.0,,0.242
img049,51G-31691,51G31691,1,100.0,,0.23
img050,51A-69172,51A69172,1,100.0,,0.228
img051,63-V10200,63V10200,1,100.0,[WARN] TOO LEAN,0.361
img052,30-N45882,30N45882,1,100.0,[WARN] TOO LEAN,0.328
img053,59-S236623,59S236623,1,100.0,[WARN] TOO LEAN,0.317
img054,59-F138151,59F138151,1,100.0,[WARN] TOO LEAN,0.349
img055,59-S216555,59S216555,1,100.0,[WARN] TOO LEAN,0.351
img056,52-L26661,52176661,0,75.0,[WARN] TOO LEAN,0.357
img057,43-S26463,43S26463,1,100.0,[WARN] TOO LEAN,0.38
img058,59-V107473,59V107473,1,100.0,[WARN] TOO LEAN,0.382
img059,67-B181846,67B181846,1,100.0,[WARN] TOO LEAN,0.387
img060,85-F100417,85F100417,1,100.0,[WARN] TOO LEAN,0.36
img061,59-V200285,59V200285,1,100.0,[WARN] TOO LEAN,0.366
img062,59-C100507,59C100507,1,100.0,[WARN] TOO LEAN,0.337
img063,72-C112511,72C112511,1,100.0,[WARN] TOO LEAN,0.352
img064,59-K190300,59K190300,1,100.0,[WARN] TOO LEAN,0.391
img065,59-K190300,59K190300,1,100.0,[WARN] TOO LEAN,0.37
img066,59-M103519,59M103519,1,100.0,[WARN] TOO LEAN,0.356
img067,68-H74213,68H74213,1,100.0,[WARN] TOO LEAN,0.389
img068,72-C112511,72C112511,1,100.0,[WARN] TOO LEAN,0.377
img069,54-Z87524,54787524,0,87.5,[WARN] TOO LEAN,0.381
img070,52-H99892,52H99892,1,100.0,[WARN] TOO LEAN,0.327
img071,68-H74213,68H74213,1,100.0,[WARN] TOO LEAN,0.37
img072,59-T188808,59T188808,1,100.0,[WARN] TOO LEAN,0.33
img073,59-C162293,59C162293,1,100.0,[WARN] TOO LEAN,0.382
img074,65-F131532,65F131532,1,100.0,[WARN] TOO LEAN,0.335
img075,59-C116274,59C116274,1,100.0,[WARN] TOO LEAN,0.356
img076,84-K34900,84K30067,0,50.0,[WARN] TOO LEAN,0.294
img077,59-U170392,59U170392,1,100.0,[WARN] TOO LEAN,0.297
img078,59-C168612,59C168612,1,100.0,[WARN] TOO LEAN,0.335
img079,54-L24264,54L27977,0,50.0,[WARN] TOO LEAN,0.328
img080,59-C165331,59C165331,1,100.0,[WARN] TOO LEAN,0.34
img081,None,None,-1,-1.0,,0.021
img082,None,None,-1,-1.0,,0.019
img083,None,None,-1,-1.0,,0.02
img084,None,None,-1,-1.0,,0.015
img085,None,None,-1,-1.0,,0.021
img086,None,None,-1,-1.0,,0.02
img087,None,None,-1,-1.0,,0.02
img088,None,None,-1,-1.0,,0.016
img089,None,None,-1,-1.0,,0.022
img090,None,None,-1,-1.0,,0.019
img091,None,None,-1,-1.0,,0.02
img092,None,None,-1,-1.0,,0.02
img093,None,None,-1,-1.0,,0.02
img094,None,None,-1,-1.0,,0.019
img095,None,None,-1,-1.0,,0.021
img096,None,None,-1,-1.0,,0.024
img097,None,None,-1,-1.0,,0.02
img098,None,None,-1,-1.0,,0.02
img099,None,None,-1,-1.0,,0.02
img100,None,None,-1,-1.0,,0.02
